gene_id,Ctr_1,Ctr_2,Ctr_3,TTT_1,TTT_2,TTT_3
ENSG00000089006,16.55297577,14.73965012,15.70585556,17.5386838,15.95852182,15.88737477
ENSG00000156467,16.80069956,11.98695049,13.4217961,12.93259924,13.8234901,9.970676031
ENSG00000130164,14.53506733,15.82546292,16.07068543,14.68981261,17.30956093,20.59114297
ENSG00000112308,34.21697007,29.12571182,28.06985861,32.27740683,32.36830685,28.97642384
ENSG00000179950,24.57540894,19.9592702,19.39331091,26.55038527,24.38219181,25.99950043
ENSG00000108829,25.57660239,22.96131811,21.40882227,30.99900645,33.07427053,33.09950259
ENSG00000244405,25.75124867,22.38904821,22.48381426,22.15255234,19.0906462,19.75475568
ENSG00000101940,16.1012675,14.62409993,15.3549144,16.38548971,16.97925264,17.46444536
ENSG00000173039,25.45776768,22.95362002,25.49761422,21.77713483,20.82345881,23.32471647
ENSG00000147224,47.07963406,41.12599118,35.03145548,55.54671284,57.5835767,54.1425081
ENSG00000122068,18.61167705,15.66452147,12.64242701,17.36774292,17.02984278,13.53274974
ENSG00000105953,23.51039381,22.2963568,21.45525574,25.56943745,26.02448022,27.43010678
ENSG00000117298,14.0358533,15.60463505,15.95971596,17.56465936,19.54012112,21.3399558
ENSG00000069424,11.63527786,11.62806029,11.90201168,13.93278953,15.09690329,15.82931077
ENSG00000126391,33.02330216,30.73966895,35.35273041,30.07182426,28.1806658,29.25668181
ENSG00000224032,34.3252223,26.06074002,29.32765636,46.01530494,48.75887355,43.74766293
ENSG00000184916,16.48847422,18.37765253,19.45317165,18.76284362,21.44801648,24.43129502
ENSG00000242265,20.63843292,20.40735124,16.81596318,20.47806833,18.402596,16.71886216
ENSG00000183734,88.75250206,69.41232951,75.16321898,60.33517459,60.65091868,55.76657494
ENSG00000008018,59.99490747,46.21383512,47.63503018,61.1520112,62.20128802,59.53384694
ENSG00000181649,119.0395206,106.8493963,118.4541694,130.8184312,173.2135655,148.0828206
ENSG00000139746,11.89860291,13.72881004,12.23656652,12.01947649,13.99115208,11.06319356
ENSG00000130396,9.044483757,10.81708305,10.25649816,8.271500662,8.48134476,8.375761297
ENSG00000103363,116.796001,91.01753935,104.0109074,115.0073383,128.9853263,115.9378137
ENSG00000235552,152.634028,118.1804944,124.3097345,164.6481976,167.5935962,141.5349676
ENSG00000101474,45.85652182,43.2707602,41.69950934,57.28415073,61.06645506,59.06666606
